id,age,age_2,age_3,rt
1,84,old-ish,old-ish,701.666666666667
2,37,young-ish,young-ish,470.666666666667
3,62,old-ish,middle,638.666666666667
4,85,old-ish,old-ish,708
5,73,old-ish,old-ish,607.333333333333
6,65,old-ish,middle,541.666666666667
7,30,young-ish,young-ish,570.666666666667
8,49,young-ish,middle,509.333333333333
9,83,old-ish,old-ish,736.666666666667
10,58,young-ish,middle,549.666666666667
11,25,young-ish,young-ish,548
12,88,old-ish,old-ish,889
13,62,old-ish,middle,883.666666666667
14,88,old-ish,old-ish,831.666666666667
15,27,young-ish,young-ish,536.333333333333
16,60,old-ish,middle,671.666666666667
17,80,old-ish,old-ish,930
18,24,young-ish,young-ish,454.666666666667
19,27,young-ish,young-ish,531.333333333333
20,52,young-ish,middle,539.333333333333
21,27,young-ish,young-ish,436.666666666667
23,74,old-ish,old-ish,696.333333333333
24,57,young-ish,middle,611.666666666667
25,23,young-ish,young-ish,523.666666666667
26,39,young-ish,young-ish,443.333333333333
27,51,young-ish,middle,628.666666666667
28,59,young-ish,middle,586.333333333333
29,24,young-ish,young-ish,450.333333333333
30,27,young-ish,young-ish,532.666666666667
31,26,young-ish,young-ish,494
32,76,old-ish,old-ish,566.333333333333
33,62,old-ish,middle,485
34,39,young-ish,young-ish,518
35,24,young-ish,young-ish,547.666666666667
36,57,young-ish,middle,517.666666666667
37,64,old-ish,middle,582
38,64,old-ish,middle,552.666666666667
39,88,old-ish,old-ish,727
40,37,young-ish,young-ish,425.333333333333
41,52,young-ish,middle,592
42,58,young-ish,middle,557.666666666667
43,57,young-ish,middle,548
44,89,old-ish,old-ish,739
45,21,young-ish,young-ish,616.666666666667
46,27,young-ish,young-ish,435
47,62,old-ish,middle,537
48,70,old-ish,middle,650.333333333333
49,39,young-ish,young-ish,556.666666666667
50,85,old-ish,old-ish,918.666666666667
51,44,young-ish,young-ish,449.666666666667
52,73,old-ish,old-ish,519.333333333333
53,44,young-ish,young-ish,630.333333333333
54,31,young-ish,young-ish,541
55,71,old-ish,middle,670.666666666667
56,27,young-ish,young-ish,518.333333333333
57,23,young-ish,young-ish,430
58,54,young-ish,middle,502.333333333333
59,83,old-ish,old-ish,522.333333333333
60,46,young-ish,young-ish,661
61,30,young-ish,young-ish,516.333333333333
62,42,young-ish,young-ish,475.666666666667
63,55,young-ish,middle,701
64,33,young-ish,young-ish,583.666666666667
65,71,old-ish,middle,526
66,81,old-ish,old-ish,656.666666666667
67,63,old-ish,middle,617.333333333333
68,33,young-ish,young-ish,480.333333333333
69,53,young-ish,middle,680.333333333333
70,85,old-ish,old-ish,1101.66666666667
71,31,young-ish,young-ish,534
72,30,young-ish,young-ish,623.666666666667
73,65,old-ish,middle,639.333333333333
74,73,old-ish,old-ish,767.333333333333
75,21,young-ish,young-ish,614.333333333333
76,70,old-ish,middle,662
77,90,old-ish,old-ish,858
78,43,young-ish,young-ish,579.666666666667
79,71,old-ish,middle,492.666666666667
80,38,young-ish,young-ish,633
81,22,young-ish,young-ish,557.333333333333
82,21,young-ish,young-ish,559.666666666667
83,47,young-ish,middle,595.666666666667
84,69,old-ish,middle,618.333333333333
85,22,young-ish,young-ish,721.666666666667
86,56,young-ish,middle,731.333333333333
87,68,old-ish,middle,670.666666666667
88,53,young-ish,middle,557.666666666667
89,73,old-ish,old-ish,630.333333333333
90,33,young-ish,young-ish,481.666666666667
91,49,young-ish,middle,537.666666666667
92,50,young-ish,middle,574.333333333333
93,74,old-ish,old-ish,656.666666666667
94,88,old-ish,old-ish,668.666666666667
95,81,old-ish,old-ish,497.666666666667
96,77,old-ish,old-ish,1241.33333333333
97,76,old-ish,old-ish,571.333333333333
98,49,young-ish,middle,537
99,72,old-ish,middle,597.666666666667
100,51,young-ish,middle,784
101,52,young-ish,middle,441
102,38,young-ish,young-ish,663
103,69,old-ish,middle,725.333333333333
104,50,young-ish,middle,534
105,21,young-ish,young-ish,409.666666666667
106,22,young-ish,young-ish,441.666666666667
107,74,old-ish,old-ish,550
108,56,young-ish,middle,614.666666666667
109,70,old-ish,middle,835
110,74,old-ish,old-ish,1292.66666666667
111,32,young-ish,young-ish,984
112,24,young-ish,young-ish,511.333333333333
113,66,old-ish,middle,623.666666666667
114,88,old-ish,old-ish,922.333333333333
115,47,young-ish,middle,710
116,45,young-ish,young-ish,659
117,58,young-ish,middle,627
118,31,young-ish,young-ish,478
119,69,old-ish,middle,1148.33333333333
120,86,old-ish,old-ish,994.333333333333
121,21,young-ish,young-ish,561.333333333333
122,23,young-ish,young-ish,669.666666666667
123,48,young-ish,middle,619.666666666667
124,20,young-ish,young-ish,520.333333333333
125,59,young-ish,middle,619.333333333333
126,79,old-ish,old-ish,894
127,96,old-ish,old-ish,1178.66666666667
128,66,old-ish,middle,644.333333333333
129,38,young-ish,young-ish,494.666666666667
130,43,young-ish,young-ish,632.666666666667
131,50,young-ish,middle,584
132,52,young-ish,middle,520.666666666667
133,41,young-ish,young-ish,525.333333333333
134,66,old-ish,middle,694
135,71,old-ish,middle,643
136,77,old-ish,old-ish,675.333333333333
137,51,young-ish,middle,667.666666666667
138,60,old-ish,middle,640.666666666667
139,54,young-ish,middle,731.333333333333
140,74,old-ish,old-ish,844
141,26,young-ish,young-ish,441
142,21,young-ish,young-ish,554.666666666667
143,75,old-ish,old-ish,679.666666666667
144,36,young-ish,young-ish,501.333333333333
145,43,young-ish,young-ish,495.333333333333
146,21,young-ish,young-ish,496.666666666667
147,74,old-ish,old-ish,600.333333333333
148,37,young-ish,young-ish,592.333333333333
149,34,young-ish,young-ish,478.666666666667
150,30,young-ish,young-ish,510
151,27,young-ish,young-ish,502.666666666667
152,68,old-ish,middle,1030.33333333333
153,27,young-ish,young-ish,471.666666666667
154,21,young-ish,young-ish,544.666666666667
155,34,young-ish,young-ish,536.333333333333
156,67,old-ish,middle,859
157,64,old-ish,middle,666
158,34,young-ish,young-ish,431.666666666667
159,75,old-ish,old-ish,1111.33333333333
160,28,young-ish,young-ish,379.333333333333
161,42,young-ish,young-ish,604
162,49,young-ish,middle,642.666666666667
163,87,old-ish,old-ish,844.666666666667
164,73,old-ish,old-ish,796.666666666667
165,34,young-ish,young-ish,490.666666666667
166,66,old-ish,middle,703.666666666667
167,79,old-ish,old-ish,993
168,33,young-ish,young-ish,789
169,47,young-ish,middle,785
170,69,old-ish,middle,794
171,92,old-ish,old-ish,1024.66666666667
172,74,old-ish,old-ish,554.666666666667
173,84,old-ish,old-ish,630.333333333333
174,71,old-ish,middle,711
175,54,young-ish,middle,627
176,82,old-ish,old-ish,657.666666666667
177,89,old-ish,old-ish,897.666666666667
178,26,young-ish,young-ish,466
179,64,old-ish,middle,560.666666666667
180,59,young-ish,middle,521.333333333333
181,69,old-ish,middle,1551.66666666667
182,70,old-ish,middle,612.333333333333
183,25,young-ish,young-ish,888.333333333333
184,26,young-ish,young-ish,541.666666666667
185,26,young-ish,young-ish,491.666666666667
186,23,young-ish,young-ish,463.333333333333
187,71,old-ish,middle,1000.33333333333
188,71,old-ish,middle,587.666666666667
189,28,young-ish,young-ish,386.333333333333
190,33,young-ish,young-ish,510.333333333333
191,23,young-ish,young-ish,468.666666666667
192,70,old-ish,middle,744.666666666667
193,30,young-ish,young-ish,594
194,73,old-ish,old-ish,667.666666666667
195,58,young-ish,middle,616
196,44,young-ish,young-ish,460.333333333333
197,45,young-ish,young-ish,479.333333333333
198,66,old-ish,middle,431.333333333333
199,48,young-ish,middle,558
200,28,young-ish,young-ish,469.333333333333
201,34,young-ish,young-ish,544.333333333333
202,48,young-ish,middle,508.666666666667
203,71,old-ish,middle,519.333333333333
204,77,old-ish,old-ish,928.333333333333
205,49,young-ish,middle,530
206,28,young-ish,young-ish,520.666666666667
207,24,young-ish,young-ish,430.333333333333
208,58,young-ish,middle,477
209,69,old-ish,middle,684
210,69,old-ish,middle,545
211,58,young-ish,middle,563.333333333333
212,31,young-ish,young-ish,451.333333333333
213,74,old-ish,old-ish,832
214,88,old-ish,old-ish,711.333333333333
215,72,old-ish,middle,952.666666666667
216,69,old-ish,middle,617.333333333333
217,48,young-ish,middle,591
218,64,old-ish,middle,574
219,57,young-ish,middle,511
220,49,young-ish,middle,471
221,30,young-ish,young-ish,459.333333333333
222,75,old-ish,old-ish,538.666666666667
223,31,young-ish,young-ish,542.666666666667
224,59,young-ish,middle,614
226,57,young-ish,middle,593.333333333333
227,45,young-ish,young-ish,536.666666666667
228,25,young-ish,young-ish,436
229,63,old-ish,middle,607.666666666667
230,59,young-ish,middle,628
231,53,young-ish,middle,427.333333333333
232,25,young-ish,young-ish,477.333333333333
233,25,young-ish,young-ish,482.666666666667
234,74,old-ish,old-ish,547.333333333333
235,38,young-ish,young-ish,452
236,27,young-ish,young-ish,537.666666666667
237,45,young-ish,young-ish,548.333333333333
238,53,young-ish,middle,474.666666666667
239,24,young-ish,young-ish,583.666666666667
240,36,young-ish,young-ish,461.666666666667
241,39,young-ish,young-ish,532.333333333333
242,32,young-ish,young-ish,397.666666666667
243,64,old-ish,middle,991.333333333333
244,75,old-ish,old-ish,755.666666666667
245,61,old-ish,middle,877.333333333333
246,77,old-ish,old-ish,841.666666666667
247,40,young-ish,young-ish,538.333333333333
248,65,old-ish,middle,566.666666666667
249,69,old-ish,middle,629
250,73,old-ish,old-ish,605.666666666667
251,30,young-ish,young-ish,524
252,83,old-ish,old-ish,475.666666666667
253,31,young-ish,young-ish,407.333333333333
254,78,old-ish,old-ish,645.333333333333
255,67,old-ish,middle,646.333333333333
256,79,old-ish,old-ish,389.666666666667
257,53,young-ish,middle,505.333333333333
258,53,young-ish,middle,589.333333333333
259,67,old-ish,middle,466
260,86,old-ish,old-ish,1155
261,75,old-ish,old-ish,615.333333333333
262,84,old-ish,old-ish,1595.33333333333
263,67,old-ish,middle,549.666666666667
264,64,old-ish,middle,1118.33333333333
265,32,young-ish,young-ish,563.333333333333
266,72,old-ish,middle,471.666666666667
267,82,old-ish,old-ish,552.666666666667
268,43,young-ish,young-ish,724.666666666667
269,73,old-ish,old-ish,781
270,72,old-ish,middle,587.333333333333
271,99,old-ish,old-ish,841.333333333333
272,73,old-ish,old-ish,584.666666666667
273,47,young-ish,middle,445.666666666667
274,40,young-ish,young-ish,442.333333333333
275,57,young-ish,middle,537
276,40,young-ish,young-ish,641.333333333333
277,48,young-ish,middle,811
278,34,young-ish,young-ish,443
279,25,young-ish,young-ish,598.333333333333
280,31,young-ish,young-ish,632.666666666667
281,25,young-ish,young-ish,521
282,36,young-ish,young-ish,558
283,83,old-ish,old-ish,697.666666666667
284,82,old-ish,old-ish,621.333333333333
285,33,young-ish,young-ish,379.666666666667
286,85,old-ish,old-ish,655.666666666667
287,63,old-ish,middle,609.666666666667
288,70,old-ish,middle,693
289,34,young-ish,young-ish,417.666666666667
290,83,old-ish,old-ish,2076
291,27,young-ish,young-ish,521.666666666667
292,67,old-ish,middle,457.666666666667
293,26,young-ish,young-ish,485
294,43,young-ish,young-ish,483.333333333333
295,36,young-ish,young-ish,475.666666666667
296,70,old-ish,middle,768.666666666667
297,72,old-ish,middle,696.333333333333
298,85,old-ish,old-ish,916.333333333333
299,27,young-ish,young-ish,493.333333333333
300,67,old-ish,middle,724.333333333333
301,79,old-ish,old-ish,649
302,66,old-ish,middle,623
303,68,old-ish,middle,718.666666666667
304,69,old-ish,middle,767.666666666667
305,86,old-ish,old-ish,1527
306,23,young-ish,young-ish,555
307,24,young-ish,young-ish,448.333333333333
308,26,young-ish,young-ish,514.333333333333
309,69,old-ish,middle,652.333333333333
310,63,old-ish,middle,579
311,75,old-ish,old-ish,899
312,51,young-ish,middle,542
313,78,old-ish,old-ish,1270.66666666667
314,54,young-ish,middle,602.333333333333
315,83,old-ish,old-ish,1079.33333333333
316,41,young-ish,young-ish,565
317,73,old-ish,old-ish,769
318,95,old-ish,old-ish,1341.33333333333
319,66,old-ish,middle,746
320,71,old-ish,middle,550.333333333333
321,70,old-ish,middle,797.333333333333
322,88,old-ish,old-ish,814.666666666667
323,55,young-ish,middle,597.333333333333
324,67,old-ish,middle,605
325,41,young-ish,young-ish,578.666666666667
326,50,young-ish,middle,545
327,83,old-ish,old-ish,660.666666666667
328,81,old-ish,old-ish,604.666666666667
329,68,old-ish,middle,601.666666666667
330,79,old-ish,old-ish,1037.66666666667
331,26,young-ish,young-ish,410.333333333333
332,45,young-ish,young-ish,556.333333333333
333,84,old-ish,old-ish,846.333333333333
334,49,young-ish,middle,529.666666666667
335,25,young-ish,young-ish,455.666666666667
336,65,old-ish,middle,855.333333333333
337,50,young-ish,middle,469.666666666667
338,63,old-ish,middle,637
339,71,old-ish,middle,779
340,27,young-ish,young-ish,435.666666666667
341,81,old-ish,old-ish,411
342,60,old-ish,middle,708
343,71,old-ish,middle,565
344,48,young-ish,middle,445.333333333333
345,95,old-ish,old-ish,750
346,41,young-ish,young-ish,552.666666666667
347,77,old-ish,old-ish,694.333333333333
348,54,young-ish,middle,599
349,64,old-ish,middle,651.333333333333
350,46,young-ish,young-ish,525
351,70,old-ish,middle,615.333333333333
352,23,young-ish,young-ish,450.333333333333
353,55,young-ish,middle,412
354,93,old-ish,old-ish,649.333333333333
355,81,old-ish,old-ish,916.333333333333
